Nombre,Referencia,CODIGO,Rubro,COD,Familia,COD,Material,COD,Detalle,COD,Título,COD,Teñido,COD,Nombre Color,COD,Modelo,Medida,Texto,Talla,Otros
H-WME-0465,H-WME-0465-193-CANDIED GINGER,Y-W-ME-SW-4/6.5-A-193,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CANDIED GINGER,193,,,,,
H-WME-0465,H-WME-0465-195-CHICORY COFFEE,Y-W-ME-SW-4/6.5-A-195,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CHICORY COFFEE,195,,,,,
H-WME-0465,H-WME-0465-196-CHOCOLATE PLUM,Y-W-ME-SW-4/6.5-A-196,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CHOCOLATE PLUM,196,,,,,
H-WME-0465,H-WME-0465-1A0-PEACHSKIN,Y-W-ME-SW-4/6.5-A-1A0,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,PEACHSKIN,1A0,,,,,
H-WME-0465,H-WME-0465-1A1-ARABIAN SPICE,Y-W-ME-SW-4/6.5-A-1A1,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,ARABIAN SPICE,1A1,,,,,
H-WME-0465,H-WME-0465-1A2-CHOCOLATE FONDANT,Y-W-ME-SW-4/6.5-A-1A2,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CHOCOLATE FONDANT,1A2,,,,,
H-WME-0465,H-WME-0465-1A3-CILANTRO,Y-W-ME-SW-4/6.5-A-1A3,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CILANTRO,1A3,,,,,
H-WME-0465,H-WME-0465-1A3R-CILANTRO,Y-W-ME-SW-4/6.5-A-1A3R,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CILANTRO REJECTED,1A3R,,,,,
H-WME-0465,H-WME-0465-1A4-OLIVE DRAB,Y-W-ME-SW-4/6.5-A-1A4,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,OLIVE DRAB,1A4,,,,,
H-WME-0465,H-WME-0465-1A5-ICE WATER,Y-W-ME-SW-4/6.5-A-1A5,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,ICE WATER,1A5,,,,,
H-WME-0465,H-WME-0465-1A7-BLACK IRIS,Y-W-ME-SW-4/6.5-A-1A7,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BLACK IRIS,1A7,,,,,
H-WME-0465,H-WME-0465-1A8-IRON,Y-W-ME-SW-4/6.5-A-1A8,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,IRON,1A8,,,,,
H-WME-0465,H-WME-0465-1A9-MOUSE GRAY,Y-W-ME-SW-4/6.5-A-1A9,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,MOUSE GRAY,1A9,,,,,
H-WME-0465,H-WME-0465-1AA-VANILLA CUSTARD,Y-W-ME-SW-4/6.5-A-1AA,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,VANILLA CUSTARD,1AA,,,,,
H-WME-0465,H-WME-0465-1AAR-VANILLA CUSTARD,Y-W-ME-SW-4/6.5-A-1AAR,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,VANILLA CUSTARD REJECTED,1AAR,,,,,
H-WME-0465,H-WME-0465-1DE-Tortoise Shell,Y-W-ME-SW-4/6.5-A-1DE,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Tortoise Shell,1DE,,,,,
H-WME-0465,H-WME-0465-1DF-Slate Rose,Y-W-ME-SW-4/6.5-A-1DF,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Slate Rose,1DF,,,,,
H-WME-0465,H-WME-0465-1E0-Muted Pink,Y-W-ME-SW-4/6.5-A-1E0,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Muted Pink,1E0,,,,,
H-WME-0465,H-WME-0465-1E1-Hushed Violet,Y-W-ME-SW-4/6.5-A-1E1,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Hushed Violet,1E1,,,,,
H-WME-0465,H-WME-0465-1E2-Navagio Bay,Y-W-ME-SW-4/6.5-A-1E2,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Navagio Bay,1E2,,,,,
H-WME-0465,H-WME-0465-1E3-Crystal Seas,Y-W-ME-SW-4/6.5-A-1E3,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Crystal Seas,1E3,,,,,
H-WME-0465,H-WME-0465-1E4-Waves Blue,Y-W-ME-SW-4/6.5-A-1E4,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Waves Blue,1E4,,,,,
H-WME-0465,H-WME-0465-1E5-Cedar Green,Y-W-ME-SW-4/6.5-A-1E5,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,Cedar Green,1E5,,,,,
H-WME-0465,H-WME-0465-203-ACORN,Y-W-ME-SW-4/6.5-A-203,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,ACORN,203,,,,,
